symbol,date,low,close,open,volume,high
BTC-EUR,2021-02-04 22:00:00,30955.177734375,31077.89453125,31392.380859375,462839808,31406.21484375
BTC-EUR,2021-02-04 23:00:00,30838.35546875,30867.32421875,31076.185546875,0,31136.849609375
BTC-EUR,2021-02-05 00:00:00,30857.712890625,30908.212890625,30859.5546875,0,31017.1015625
BTC-EUR,2021-02-05 01:00:00,30798.376953125,30814.189453125,30912.041015625,0,31099.85546875
BTC-EUR,2021-02-05 02:00:00,30633.052734375,30779.689453125,30778.380859375,0,30803.357421875
BTC-EUR,2021-02-05 03:00:00,30792.5,31174.59375,30792.5,292143104,31200.29296875
BTC-EUR,2021-02-05 04:00:00,31117.0390625,31125.78515625,31171.759765625,42348544,31224.5234375
BTC-EUR,2021-02-05 05:00:00,30930.453125,31053.498046875,31129.431640625,0,31175.1953125
BTC-EUR,2021-02-05 06:00:00,30977.712890625,31244.2421875,31048.55078125,448688128,31347.048828125
BTC-EUR,2021-02-05 07:00:00,31225.1796875,31382.705078125,31236.072265625,383053824,31447.318359375
BTC-EUR,2021-02-05 08:00:00,31234.453125,31401.9296875,31387.0078125,0,31445.78515625
BTC-EUR,2021-02-05 09:00:00,31235.84375,31235.84375,31413.802734375,0,31419.4609375
BTC-EUR,2021-02-05 10:00:00,31096.181640625,31229.794921875,31221.8671875,0,31359.966796875
BTC-EUR,2021-02-05 11:00:00,31227.021484375,31390.841796875,31232.5625,0,31450.76171875
BTC-EUR,2021-02-05 12:00:00,31347.33984375,31601.76953125,31389.57421875,534401024,31725.646484375
BTC-EUR,2021-02-05 13:00:00,31490.3203125,31814.49609375,31601.12109375,806080512,31814.49609375
BTC-EUR,2021-02-05 14:00:00,31655.716796875,31698.302734375,31827.267578125,468627456,31847.5703125
BTC-EUR,2021-02-05 15:00:00,31543.25390625,31556.396484375,31695.876953125,0,31757.755859375
BTC-EUR,2021-02-05 16:00:00,31337.806640625,31337.806640625,31562.095703125,0,31652.4921875
BTC-EUR,2021-02-05 17:00:00,31346.259765625,31420.83984375,31349.05078125,0,31443.052734375
BTC-EUR,2021-02-05 18:00:00,31107.1875,31107.1875,31413.890625,0,31435.150390625
BTC-EUR,2021-02-05 19:00:00,30982.5703125,31211.111328125,31104.833984375,348467200,31211.111328125
BTC-EUR,2021-02-05 20:00:00,31131.255859375,31266.63671875,31209.5390625,0,31266.63671875
